,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,nhost,npilot,npilot_active,nunit
rp.session.radical.mturilli.017051.0005,184.588100195,1272.59060001,29.0432999134,0.00220012664795,0.110599994659,1479.80410004,1241.41140008,0.00980019569397,0.0246000289917,640.813000202,0.00409984588623,0.127700090408,exp2,2.0,4,4,8
rp.session.radical.mturilli.017051.0006,274.400500059,7577.05279994,30.757600069,0.00209999084473,0.120800018311,7817.27189994,7551.97119999,0.1538002491,0.113000869751,7203.6263001,0.033499956131,0.463500022888,exp2,3.0,4,3,64
rp.session.radical.mturilli.017051.0007,260.966399908,2501.57719994,29.9350001812,0.00229978561401,0.105700016022,2649.92369986,2201.90009999,0.0204999446869,0.0231003761292,1075.76970005,0.00839996337891,0.257600069046,exp2,2.0,4,4,16
rp.session.radical.mturilli.017051.0008,284.193000078,9461.55930018,29.5638999939,0.00209999084473,0.129400014877,9686.19309998,9093.42190003,1.87540102005,0.283801794052,8390.21140003,0.0299999713898,0.380100011826,exp2,3.0,4,3,64
rp.session.radical.mturilli.017052.0003,229.156499863,3724.85400009,31.4321000576,0.00200009346008,0.124599933624,3993.36859989,3695.69309926,0.0369997024536,0.0172004699707,3218.00920033,0.00329995155334,0.145200014114,exp2,2.0,4,1,8
rp.session.radical.mturilli.017052.0005,188.396399975,2574.65689993,34.0996000767,0.00179982185364,0.127799987793,2810.69679999,2543.67409992,0.0251002311707,0.0339999198914,2205.34090018,0.00830006599426,0.243499994278,exp2,3.0,4,2,16
rp.session.radical.mturilli.017052.0006,295.66170001,2850.55440021,29.4115998745,0.00189995765686,0.105499982834,3092.33930016,2602.6875999,0.0514008998871,0.0629997253418,2261.77099991,0.0136001110077,0.275899887085,exp2,2.0,4,4,32
rp.session.radical.mturilli.017052.0007,177.805700064,1298.9901998,38.8266999722,0.00230002403259,0.122799873352,1522.65190005,1265.39619994,0.00959992408752,0.0114002227783,1001.87669992,0.00409984588623,0.110100030899,exp2,2.0,4,2,8
rp.session.radical.mturilli.017052.0008,197.881000042,4620.60830021,29.6904001236,0.0019998550415,0.121400117874,4790.16639996,4326.34170008,0.0771005153656,0.080099105835,4076.27999997,0.0277998447418,0.422200202942,exp2,4.0,4,4,64
rp.session.radical.mturilli.017053.0000,294.429399967,3308.31590009,30.5758001804,0.00219988822937,0.106499910355,3633.56499982,3282.91839981,0.0206000804901,0.0227997303009,2574.11470008,0.108599901199,0.239799976349,exp2,1.0,4,4,16
